image_id,angle_deg,value,unit,blur,brightness,occlusion,noise_level
train_0111,-81.91,15.871,psi,1.5,1.0,0,0
train_0112,49.49,70.621,psi,0,0.85,0,2.0
train_0113,-103.522,13.732,kPa,0,0.5,0.3,2.0
train_0114,-119.661,0.085,bar,0,1.0,0.5,0
train_0115,15.574,33.894,bar,0,1.0,0.3,0
train_0116,-71.872,20.053,psi,0.5,1.0,0,0
train_0117,86.503,137.668,psi,1.5,0.7,0,0
train_0118,115.402,196.168,kPa,0,0.7,0,0
train_0119,-89.837,7.541,bar,0,0.7,0,2.0
train_0120,-30.083,74.931,kPa,0,0.5,0,0.5
train_0121,-48.409,47.727,psi,0,1.0,0.15,1.0
train_0122,-82.804,9.299,bar,0.5,0.85,0.5,0
train_0123,-53.847,55.128,kPa,0.5,1.0,0.15,0
train_0124,42.246,108.164,psi,0,1.0,0,0
train_0125,-6.677,47.218,psi,0,0.7,0,0
train_0126,70.829,79.512,psi,1.0,1.0,0.3,0
train_0127,101.503,147.669,psi,1.5,0.7,0.5,0
train_0128,-103.18,7.008,psi,0,1.0,0,0
train_0129,50.022,70.842,psi,0,0.7,0.5,2.0
train_0130,73.477,48.369,bar,2.0,1.0,0,0.5
train_0131,51.876,42.969,bar,0,1.0,0.15,0
train_0132,-67.112,35.259,psi,0,0.85,0.15,0
train_0133,9.645,108.038,kPa,0.5,0.85,0,0.5
train_0134,-64.734,36.844,psi,0,1.0,0.5,1.0
train_0135,-92.604,18.264,psi,0,1.0,0.5,0
train_0136,109.224,152.816,psi,0.5,1.0,0.15,0
train_0137,44.373,68.489,psi,0,0.7,0.15,0.5
train_0138,59.679,44.92,bar,0.5,1.0,0.3,0
train_0139,-112.338,5.108,psi,1.5,0.85,0,0
train_0140,-96.381,9.841,psi,0,1.0,0.3,0.5
train_0141,82.198,134.799,psi,1.0,1.0,0,1.0
train_0142,63.688,153.073,kPa,1.0,1.0,0,0
train_0143,-60.472,49.607,kPa,0.5,1.0,0,0
train_0144,88.617,86.924,psi,1.5,1.0,0.3,0
train_0145,18.479,57.7,psi,0,1.0,0.3,0
train_0146,-116.367,1.514,psi,1.0,1.0,0.15,2.0
train_0147,-0.239,79.841,psi,1.0,1.0,0.5,0
train_0148,95.837,179.864,kPa,1.0,1.0,0,2.0
train_0149,38.462,66.026,psi,0,1.0,0,0.5
train_0150,-73.135,39.054,kPa,1.5,0.85,0.15,2.0
train_0151,-13.919,26.52,bar,0,1.0,0,0
train_0152,43.199,135.999,kPa,0,0.7,0.5,0.5
train_0153,-43.517,50.989,psi,0.5,1.0,0,0
train_0154,-96.49,5.877,bar,2.0,1.0,0.3,0
train_0155,22.266,35.566,bar,2.0,1.0,0,0
train_0156,98.035,145.356,psi,0,0.7,0,2.0
train_0157,-89.738,20.175,psi,1.5,0.5,0,0
train_0158,99.0,54.75,bar,0,0.7,0,0
train_0159,47.263,139.386,kPa,1.0,0.5,0.3,0
train_0160,-78.769,10.308,bar,2.0,0.85,0.5,0
train_0161,-59.294,40.471,psi,0.5,1.0,0.15,0.5
train_0162,78.882,165.735,kPa,2.0,1.0,0,1.0
train_0163,49.364,42.341,bar,0.5,1.0,0.15,2.0
train_0164,15.944,113.287,kPa,1.0,1.0,0.5,0
train_0165,102.713,148.475,psi,1.5,1.0,0.5,0
train_0166,11.57,87.713,psi,1.0,0.85,0,1.0
train_0167,32.684,63.618,psi,1.0,1.0,0.15,1.0
train_0168,84.62,136.413,psi,0.5,1.0,0.5,0
train_0169,-82.223,31.481,kPa,2.0,1.0,0.15,0
train_0170,-67.15,35.233,psi,2.0,1.0,0.5,0.5
train_0171,-7.155,28.211,bar,2.0,1.0,0,1.0
train_0172,-72.149,19.938,psi,0.5,0.5,0,0
train_0173,52.355,71.815,psi,2.0,0.5,0,0.5
train_0174,-101.151,7.854,psi,0,1.0,0.5,1.0
train_0175,-26.753,38.853,psi,0,1.0,0,2.0
train_0176,23.772,59.905,psi,1.5,1.0,0,0
train_0177,60.867,150.723,kPa,0,0.7,0.3,0
train_0178,-44.452,50.365,psi,0.5,0.7,0.3,0
train_0179,-117.848,0.897,psi,1.0,1.0,0.3,0
train_0180,-68.338,34.441,psi,1.0,0.5,0,1.0
train_0181,-12.635,26.841,bar,2.0,1.0,0.3,2.0
train_0182,-39.145,20.214,bar,0,0.5,0,0.5
train_0183,65.581,154.651,kPa,1.0,1.0,0,0
train_0184,79.616,83.173,psi,0,1.0,0.5,2.0
train_0185,-59.37,40.42,psi,0,0.85,0,1.0
train_0186,119.641,59.91,bar,0,1.0,0,0
train_0187,41.758,134.798,kPa,0.5,0.85,0.15,2.0
train_0188,50.894,142.411,kPa,0,0.5,0.15,1.0
train_0189,-72.745,11.814,bar,0,0.5,0,1.0
train_0190,63.631,153.026,kPa,0,1.0,0,1.0
train_0191,55.265,146.054,kPa,2.0,1.0,0,2.0
train_0192,-4.412,96.324,kPa,1.5,1.0,0.15,2.0
train_0193,-74.652,37.79,kPa,0,1.0,0,0
train_0194,18.457,57.69,psi,0,1.0,0.3,0
train_0195,-19.212,83.99,kPa,1.0,1.0,0,0
train_0196,-24.199,23.95,bar,1.0,1.0,0.15,0.5
train_0197,-46.303,18.424,bar,1.0,1.0,0.3,0
train_0198,-119.172,0.69,kPa,0.5,1.0,0.5,0.5
train_0199,109.017,95.424,psi,1.0,0.5,0,0
train_0200,-81.844,25.437,psi,0,1.0,0.15,0.5
train_0201,-28.013,22.997,bar,0,0.5,0,0
train_0202,25.584,121.32,kPa,0.5,0.7,0.5,1.0
train_0203,-64.16,13.96,bar,0,0.85,0,2.0
train_0204,99.477,91.449,psi,1.0,1.0,0,0
train_0205,-106.96,10.867,kPa,0,1.0,0.5,1.0
train_0206,46.928,139.107,kPa,0,0.7,0,0
train_0207,118.077,99.199,psi,0,0.5,0,0
train_0208,-83.094,9.226,bar,0,0.85,0,1.0
train_0209,42.233,67.597,psi,0.5,0.85,0.15,0.5
train_0210,40.027,133.356,kPa,1.0,0.7,0,1.0
train_0211,-66.722,44.398,kPa,0.5,0.7,0,0
train_0212,74.881,129.921,psi,1.5,1.0,0.3,2.0
train_0213,51.903,143.253,kPa,0.5,1.0,0.5,0
train_0214,25.194,96.796,psi,1.5,1.0,0,2.0
train_0215,106.765,56.691,bar,0,1.0,0.15,0
train_0216,-69.522,33.652,psi,2.0,1.0,0.3,0.5
train_0217,-48.598,17.851,bar,0,1.0,0,0.5
train_0218,81.518,83.966,psi,0,1.0,0,0
train_0219,-52.336,45.109,psi,1.0,0.85,0.15,0
train_0220,-99.811,16.824,kPa,1.0,0.85,0,0.5
train_0221,-21.488,65.675,psi,1.5,0.7,0.15,2.0
train_0222,87.196,172.663,kPa,2.0,1.0,0.3,0
train_0223,64.799,123.199,psi,2.0,1.0,0.15,0
train_0224,-102.556,14.537,kPa,0,1.0,0,2.0
train_0225,-6.098,75.935,psi,0.5,0.5,0,0.5
train_0226,-67.965,43.362,kPa,1.5,1.0,0,1.0
train_0227,23.634,95.756,psi,0,0.7,0.15,0
train_0228,9.136,107.614,kPa,1.5,1.0,0,2.0
train_0229,105.655,150.437,psi,1.5,1.0,0.5,2.0
train_0230,-31.102,74.082,kPa,0,1.0,0.15,0
train_0231,-1.309,79.128,psi,0.5,0.85,0.3,1.0
train_0232,77.392,164.493,kPa,1.5,0.85,0.15,0
train_0233,-24.126,39.948,psi,1.0,1.0,0.3,0
train_0234,27.726,123.105,kPa,2.0,1.0,0.3,2.0
train_0235,79.035,132.69,psi,0.5,0.5,0.5,2.0
train_0236,-81.601,9.6,bar,0,0.7,0.3,1.0
train_0237,92.369,53.092,bar,0,0.7,0,0.5
train_0238,-77.339,35.551,kPa,2.0,0.7,0.15,0
train_0239,117.898,59.475,bar,1.5,0.7,0,0.5
train_0240,14.529,89.686,psi,1.5,0.85,0.5,0.5
train_0241,49.172,42.293,bar,0.5,1.0,0.5,1.0
train_0242,26.263,97.508,psi,1.0,0.7,0.15,0
train_0243,45.489,137.907,kPa,0,0.85,0,1.0
train_0244,-111.155,5.897,psi,2.0,0.7,0.3,1.0
train_0245,-63.57,37.62,psi,0.5,1.0,0,0
train_0246,-26.028,62.648,psi,0,1.0,0.15,0
train_0247,48.35,140.292,kPa,0,0.85,0,2.0
train_0248,-86.961,8.26,bar,0.5,1.0,0,0
train_0249,-119.778,0.185,kPa,2.0,0.7,0.5,0
train_0250,-56.176,26.593,psi,2.0,0.85,0.3,0
train_0251,-66.74,22.192,psi,1.0,1.0,0.5,0
train_0252,-12.069,26.983,bar,0,1.0,0.3,0.5
train_0253,73.006,48.251,bar,2.0,0.5,0.5,0
train_0254,-115.053,3.298,psi,1.5,0.5,0,0
train_0255,-55.884,53.43,kPa,0,0.7,0.15,0.5
train_0256,48.571,42.143,bar,0,0.5,0.15,0
train_0257,101.715,55.429,bar,0,1.0,0.5,1.0
train_0258,-80.701,16.375,psi,0,1.0,0,2.0
train_0259,69.038,47.259,bar,0,1.0,0.15,0
train_0260,-13.159,89.034,kPa,1.0,1.0,0.5,1.0
train_0261,76.876,164.064,kPa,0.5,0.5,0.3,0
train_0262,-0.3,79.8,psi,0,1.0,0.15,1.0
train_0263,2.215,81.477,psi,0.5,0.5,0.15,0
train_0264,-24.18,63.88,psi,0.5,1.0,0.15,0.5
train_0265,115.959,58.99,bar,2.0,1.0,0.3,1.0
train_0266,118.861,99.525,psi,0,0.85,0.15,0.5
train_0267,9.273,107.728,kPa,0,0.5,0.3,2.0
train_0268,-103.833,13.472,kPa,2.0,1.0,0,0
train_0269,-54.638,54.469,kPa,1.5,0.5,0.5,0
train_0270,-52.906,27.956,psi,0,0.85,0.15,0.5
train_0271,-50.845,17.289,bar,0,0.7,0.3,0
train_0272,72.333,48.083,bar,1.0,1.0,0.3,0
train_0273,109.653,191.377,kPa,0,0.5,0,2.0
train_0274,31.632,63.18,psi,1.0,0.7,0.5,0
train_0275,53.903,72.46,psi,2.0,1.0,0,1.0
train_0276,62.661,76.109,psi,0,0.5,0.5,0
train_0277,-26.912,38.787,psi,2.0,1.0,0.3,0
train_0278,35.196,103.464,psi,0,0.5,0.3,2.0
train_0279,-21.481,41.05,psi,0,0.5,0.3,0.5
train_0280,14.236,111.863,kPa,1.5,0.7,0.5,0
train_0281,-73.322,31.119,psi,0,1.0,0,0
train_0282,110.001,191.668,kPa,2.0,0.85,0.5,0
train_0283,64.625,46.156,bar,0,0.85,0.3,0
train_0284,-106.969,3.258,bar,0.5,0.7,0,0
train_0285,-111.066,7.445,kPa,2.0,1.0,0,0
train_0286,39.548,106.365,psi,1.5,1.0,0,0
train_0287,17.225,114.354,kPa,2.0,0.5,0.3,0
train_0288,62.721,76.134,psi,0,1.0,0.3,1.0
train_0289,-61.154,14.711,bar,1.0,1.0,0.15,0
train_0290,-68.439,34.374,psi,1.5,1.0,0.15,0.5
train_0291,58.657,148.881,kPa,2.0,0.5,0.15,1.0
train_0292,-93.624,17.584,psi,0,1.0,0.5,2.0
train_0293,-105.81,5.912,psi,0,1.0,0,2.0
train_0294,-15.695,26.076,bar,2.0,0.7,0.3,0.5
train_0295,43.376,136.146,kPa,0,1.0,0.15,0.5
train_0296,-40.717,66.069,kPa,2.0,1.0,0.3,0
train_0297,-21.044,41.232,psi,0,0.5,0,0
train_0298,109.571,57.393,bar,1.5,0.85,0,0
train_0299,-54.85,27.146,psi,0.5,1.0,0.15,1.0
train_0300,-8.011,74.659,psi,0.5,0.85,0.15,1.0
train_0301,-60.743,24.691,psi,0,0.7,0,0.5
train_0302,-45.049,49.967,psi,0,1.0,0.3,0
train_0303,70.67,158.891,kPa,0,0.85,0,0
train_0304,-15.902,86.748,kPa,0.5,0.7,0,0
train_0305,53.596,43.399,bar,2.0,0.85,0.3,1.0
train_0306,-60.959,24.6,psi,2.0,1.0,0,2.0
train_0307,100.15,183.458,kPa,0.5,1.0,0,1.0
train_0308,70.021,158.351,kPa,0.5,1.0,0.5,1.0
train_0309,106.858,189.049,kPa,0,1.0,0,0
train_0310,25.473,121.227,kPa,0,0.5,0,1.0
train_0311,102.54,92.725,psi,1.5,1.0,0.15,0
train_0312,72.983,80.409,psi,0.5,0.5,0.5,0.5
train_0313,-62.205,38.53,psi,0,1.0,0.3,0.5
train_0314,-6.617,75.589,psi,0,1.0,0.5,0
train_0315,119.609,159.74,psi,0,1.0,0,1.0
train_0316,-40.119,19.97,bar,0,1.0,0.15,0
train_0317,6.477,84.318,psi,0,0.5,0,0
train_0318,51.848,114.565,psi,0,1.0,0.15,1.0
train_0319,-70.102,41.582,kPa,1.0,1.0,0.15,0
train_0320,-111.191,3.671,psi,1.0,0.85,0,1.0
train_0321,-60.484,24.798,psi,0,1.0,0,0
train_0322,56.68,147.233,kPa,0.5,1.0,0,0.5
train_0323,115.694,157.129,psi,1.5,0.85,0,2.0
train_0324,22.761,95.174,psi,0.5,0.5,0.5,2.0
train_0325,90.139,175.116,kPa,0,1.0,0,0
train_0326,104.961,93.734,psi,0,0.85,0.3,2.0
train_0327,-110.515,7.904,kPa,0,0.85,0.15,0
train_0328,119.309,159.539,psi,2.0,1.0,0.5,0
train_0329,-5.272,28.682,bar,1.0,1.0,0.15,0
train_0330,-14.865,87.613,kPa,0,0.85,0,0
train_0331,-39.193,67.339,kPa,0,1.0,0.15,1.0
train_0332,3.835,51.598,psi,0,0.85,0.15,0.5
train_0333,-86.141,22.573,psi,0,0.5,0.3,0
train_0334,-28.05,76.625,kPa,0,0.85,0.15,2.0
train_0335,60.386,45.096,bar,0,0.5,0,1.0
train_0336,85.05,136.7,psi,1.0,1.0,0.5,0
train_0337,23.215,119.346,kPa,1.0,0.5,0,0
train_0338,61.162,120.775,psi,0,1.0,0.15,0
train_0339,27.137,61.307,psi,2.0,1.0,0,0
train_0340,49.492,70.621,psi,1.0,1.0,0,0.5
train_0341,-40.069,53.287,psi,0,0.85,0,1.0
train_0342,-29.526,37.698,psi,0.5,1.0,0.3,0
train_0343,-29.72,37.616,psi,0,0.5,0,0
train_0344,-17.848,42.563,psi,1.5,1.0,0.3,0
train_0345,78.006,132.004,psi,1.0,1.0,0,1.0
train_0346,-46.366,18.409,bar,0,1.0,0.15,0
train_0347,0.938,100.782,kPa,0,0.7,0,0
train_0348,-10.815,45.494,psi,0,1.0,0,0
train_0349,109.877,95.782,psi,0,0.7,0,0
train_0350,-102.146,4.463,bar,0,0.7,0,0
train_0351,44.052,109.368,psi,0.5,1.0,0,2.0
train_0352,45.846,69.102,psi,0,1.0,0.3,0
train_0353,-18.277,84.769,kPa,0,1.0,0.3,0
train_0354,-7.267,93.944,kPa,1.0,1.0,0,0
train_0355,-23.019,64.654,psi,0,1.0,0,0
train_0356,-5.795,95.171,kPa,0,0.5,0,1.0
train_0357,51.718,143.098,kPa,1.5,0.7,0.3,1.0
train_0358,-97.132,5.717,bar,0,1.0,0,0.5
train_0359,30.12,62.55,psi,0.5,1.0,0.5,0.5
train_0360,-47.763,60.198,kPa,0,0.7,0,0
train_0361,70.284,126.856,psi,1.5,1.0,0,0
train_0362,-57.509,52.076,kPa,1.5,0.7,0.15,0
train_0363,-37.977,34.176,psi,0.5,0.85,0,0
train_0364,79.903,49.976,bar,1.0,1.0,0.3,0
train_0365,95.094,179.245,kPa,0,0.85,0,0
train_0366,10.027,54.178,psi,0,1.0,0,1.0
train_0367,72.533,80.222,psi,0,1.0,0.5,0.5
train_0368,12.469,33.117,bar,0,0.85,0,0
train_0369,100.362,146.908,psi,2.0,0.7,0,2.0
train_0370,84.824,170.687,kPa,0.5,0.85,0,0
train_0371,-64.416,46.32,kPa,0,1.0,0,0
train_0372,117.997,198.331,kPa,0,0.85,0.3,1.0
train_0373,73.616,161.347,kPa,0,0.85,0.5,0.5
train_0374,84.034,136.022,psi,2.0,0.85,0.3,1.0
train_0375,-72.716,11.821,bar,1.5,0.7,0.5,0.5
train_0376,-92.971,11.262,psi,2.0,1.0,0.5,0.5
train_0377,43.971,109.314,psi,0,1.0,0.3,0.5
train_0378,-103.997,13.336,kPa,0,0.5,0.15,0
train_0379,-114.472,3.685,psi,0,0.7,0,1.0
train_0380,61.679,75.7,psi,0.5,1.0,0.15,0
train_0381,-80.174,9.956,bar,1.5,0.85,0.15,1.0
train_0382,-23.669,40.138,psi,0,0.5,0.3,0.5
train_0383,-2.374,98.021,kPa,0.5,0.85,0,0.5
train_0384,-28.218,61.188,psi,0.5,0.5,0,0.5
train_0385,-33.258,72.285,kPa,0,0.5,0,1.0
train_0386,116.769,98.654,psi,0.5,0.85,0.3,0
train_0387,-6.523,75.652,psi,0,0.5,0,0.5
train_0388,-106.067,3.483,bar,0.5,0.85,0.3,0
train_0389,22.566,35.641,bar,0,0.5,0.3,0
train_0390,-104.805,10.13,psi,1.0,1.0,0,1.0
train_0391,49.124,42.281,bar,0.5,1.0,0.3,1.0
train_0392,106.008,56.502,bar,2.0,1.0,0,0.5
train_0393,-24.446,23.889,bar,2.0,1.0,0.3,2.0
train_0394,-79.679,26.881,psi,2.0,0.85,0.3,0
train_0395,111.248,57.812,bar,0,0.7,0,0
train_0396,-9.666,27.583,bar,0,1.0,0,0
train_0397,17.353,34.338,bar,0.5,1.0,0,0.5
train_0398,3.836,51.598,psi,2.0,1.0,0.15,0
train_0399,-25.076,23.731,bar,0.5,0.5,0,0
train_0400,90.872,87.863,psi,0,0.7,0,1.0
train_0401,36.435,130.363,kPa,1.5,0.7,0.5,2.0
train_0402,-92.867,6.783,bar,0,1.0,0.15,0
train_0403,-30.442,59.705,psi,1.5,1.0,0.3,0
train_0404,-40.038,33.317,psi,0,0.85,0.15,2.0
train_0405,-38.582,33.924,psi,0.5,1.0,0,2.0
train_0406,36.293,104.195,psi,2.0,0.85,0.15,0
train_0407,105.682,94.034,psi,1.5,1.0,0.3,0
train_0408,23.306,119.422,kPa,0,1.0,0,1.0
train_0409,-80.256,26.496,psi,1.5,1.0,0.15,0
train_0410,80.102,83.376,psi,1.0,1.0,0.3,0
train_0411,50.248,141.874,kPa,2.0,0.85,0,0
train_0412,-18.78,84.35,kPa,1.5,1.0,0.15,0
train_0413,-52.009,28.329,psi,0.5,0.5,0.5,0
train_0414,-108.701,7.533,psi,1.5,1.0,0,0.5
train_0415,-36.573,20.857,bar,1.5,0.7,0.3,0
train_0416,-100.317,16.402,kPa,0,1.0,0.5,0.5
train_0417,34.499,38.625,bar,0,1.0,0,0
train_0418,31.707,101.138,psi,0,0.7,0,2.0
train_0419,7.453,84.968,psi,1.0,1.0,0,1.0
train_0420,-50.542,28.941,psi,0,1.0,0,0.5
train_0421,-14.466,26.383,bar,1.5,1.0,0.15,1.0
train_0422,45.632,138.027,kPa,1.5,1.0,0.15,0
train_0423,-106.345,5.689,psi,1.5,1.0,0.3,0
train_0424,-85.595,22.936,psi,2.0,0.7,0.15,0
train_0425,-0.295,79.804,psi,1.0,1.0,0,0.5
train_0426,-6.516,47.285,psi,1.0,0.7,0,0
train_0427,-62.326,48.062,kPa,1.5,0.85,0,0
train_0428,-29.075,75.771,kPa,1.0,1.0,0,0
train_0429,98.025,145.35,psi,0,0.5,0.3,0
train_0430,44.283,136.902,kPa,1.0,1.0,0.15,0
train_0431,40.247,40.062,bar,1.5,1.0,0,0
train_0432,0.559,100.466,kPa,1.5,1.0,0.15,0
train_0433,-61.701,48.583,kPa,0.5,0.5,0,0
train_0434,-70.379,20.675,psi,0,0.7,0,0
train_0435,-90.805,12.164,psi,1.5,1.0,0.3,0
train_0436,70.373,79.322,psi,2.0,1.0,0,0
train_0437,-98.71,17.742,kPa,0,0.85,0.15,1.0
train_0438,-38.362,20.409,bar,1.5,0.7,0,0
train_0439,12.007,88.005,psi,1.5,1.0,0.3,1.0
train_0440,75.82,163.183,kPa,1.5,1.0,0,0
train_0441,-9.927,91.727,kPa,0,1.0,0.3,2.0
train_0442,-45.622,61.981,kPa,0,0.85,0,1.0
train_0443,-1.652,49.312,psi,0,1.0,0,2.0
train_0444,-93.846,6.539,bar,0.5,0.5,0.5,0.5
train_0445,-65.37,45.525,kPa,0,1.0,0.15,0.5
train_0446,-20.432,66.379,psi,2.0,1.0,0,0
train_0447,-49.662,17.585,bar,1.5,0.7,0,0
train_0448,102.309,92.629,psi,1.0,0.7,0.15,0
train_0449,0.837,80.558,psi,0,1.0,0.15,0.5
train_0450,-24.041,39.983,psi,2.0,1.0,0.3,1.0
train_0451,-49.385,47.076,psi,1.0,0.7,0,2.0
train_0452,30.365,37.591,bar,2.0,0.85,0,2.0
train_0453,-117.09,1.213,psi,2.0,0.5,0.5,1.0
train_0454,11.525,109.604,kPa,0,0.5,0,0
train_0455,3.114,30.778,bar,2.0,0.5,0.5,0.5
train_0456,25.715,60.715,psi,0.5,1.0,0,2.0
train_0457,106.184,56.546,bar,1.5,0.85,0,0
train_0458,59.777,74.907,psi,0,0.5,0.15,0
train_0459,-105.637,5.985,psi,2.0,0.5,0.15,1.0
train_0460,87.434,172.861,kPa,0,0.85,0.3,1.0
train_0461,-70.54,41.216,kPa,1.5,1.0,0,0
train_0462,85.8,171.5,kPa,0,1.0,0,0
